,,,,,,,,,,,,,,,,,,,,,,,,,
,,Device history data,,,,,,,,,,,,,,,,,,,,,,,
,Device,TMM 12026-3 I   HBC-SERIES,,,,,,,,,,,,,,,,,,,,,,,
,Type,HBC-Series,,,,,,,,,,,,,,,,,,,,,,,
,Firmware,5.75,,,,,,,,,,,,,,,,,,,,,,,
,Serial number,52FF6D066571525319151687,,,,,,,,,,,,,,,,,,,,,,,
,Created,"27/02/2024, 12:22",,MGM ProTool v3.5.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Time,Input voltage,Input current,Motor revolutions WRONG ,Motor revolutions,Controller temperature,Peak current,Battery internal voltage,Main bus voltage,Input request,Incoming power,Cruising speed (car),Motor temperature,Battery temperature,Output power,Automatic regulation,I*T fuse,Low voltage,High current,ESC overheated,Motor overheated,Battery overheated,HW current fuse,HW overvoltage/undervoltage,Pulse current
,,[V],[A],[x100rpm],[x100rpm],[°C],[A],[V],[V],[%],[W],[km/h],[°C],[°C],[%],,,,,,,,,,[A]
,100ms,16.696,0.7,0,0,18,4,16.522,10.364,4.902,10,0,18,0,4.902,0,0,0,0,0,0,0,0,0,14.4
,200ms,16.627,1.2,0,0,18,41,16.679,10.364,7.843,20,0,18,0,7.843,0,0,0,0,0,0,0,0,0,15.4
,300ms,16.627,1.6,9.2,12.88,18,13,16.661,10.364,7.843,20,8.6,18,0,7.843,0,0,0,0,0,0,0,0,0,20.6
,400ms,16.627,1.6,11.4,15.96,18,13,16.661,10.364,7.843,20,10.7,18,0,7.843,0,0,0,0,0,0,0,0,0,20.6
,500ms,16.696,1.2,12.4,17.36,18,12,16.661,10.364,7.843,20,11.6,18,0,7.843,0,0,0,0,0,0,0,0,0,15.4
,600ms,16.679,1.4,12.7,17.78,18,10,16.679,10.364,7.843,20,11.9,18,0,7.843,0,0,0,0,0,0,0,0,0,18
,700ms,16.644,1.7,13,18.2,18,11,16.661,10.364,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,21.8
,800ms,16.644,1.7,13,18.2,18,12,16.644,10.364,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,21.8
,900ms,16.627,1.7,13,18.2,18,10,16.627,10.364,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,21.8
,1s,16.574,1.4,13,18.2,18,13,16.679,10.364,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,18
,1s 100ms,16.696,1.2,13,18.2,18,11,16.679,10.364,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,15.4
,1s 200ms,16.679,1.7,13,18.2,18,14,16.609,10.364,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,21.8
,1s 300ms,16.696,1,13,18.2,19,10,16.661,10.364,7.843,10,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,12.8
,1s 400ms,16.644,1.2,13,18.2,18,12,16.679,10.364,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,15.4
,1s 500ms,16.661,1.2,13,18.2,18,11,16.679,10.318,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,15.4
,1s 600ms,16.644,1.4,13,18.2,18,13,16.679,10.364,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,18
,1s 700ms,16.661,1.7,13,18.2,17,14,16.679,10.364,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,21.8
,1s 800ms,16.696,1.6,13,18.2,17,13,16.627,10.364,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,20.6
,1s 900ms,16.627,1.7,13,18.2,18,12,16.627,10.364,7.843,20,12.2,18,0,7.843,0,0,0,0,0,0,0,0,0,21.8
,2s,16.627,0.3,13,18.2,19,11,16.679,10.364,4.902,0,12.2,18,0,4.902,0,0,0,0,0,0,0,0,0,6.1
,2s 100ms,16.661,0.1,7.4,10.36,19,5,16.714,10.364,0,0,6.9,18,0,0,0,0,0,0,0,0,0,0,0,0
,2s 200ms,16.644,0.5,0,0,19,1,16.661,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,2s 300ms,16.696,0.5,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,2s 400ms,16.714,0.1,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,2s 500ms,16.679,0.3,0,0,18,1,16.714,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,2s 600ms,16.609,0.5,0,0,18,1,16.714,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,2s 700ms,16.679,0.3,0,0,18,1,16.714,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,2s 800ms,16.679,0.5,0,0,19,1,16.679,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,2s 900ms,16.696,0.5,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,3s,16.661,0.5,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,3s 100ms,16.661,0.5,0,0,19,1,16.679,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,3s 200ms,16.661,0.1,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,3s 300ms,16.696,0.3,0,0,19,1,16.522,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,3s 400ms,16.696,0.5,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,3s 500ms,16.679,0.3,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,3s 600ms,16.714,0.3,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,3s 700ms,16.679,0.5,0,0,18,1,16.661,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,3s 800ms,16.696,0.3,0,0,19,1,16.661,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,3s 900ms,16.714,0.7,0,0,19,1,16.696,10.364,0,10,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s,16.696,0.5,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 100ms,16.696,0.3,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 200ms,16.679,0.3,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 300ms,16.696,0.5,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 400ms,16.696,0.5,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 500ms,16.696,0.5,0,0,18,1,16.714,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 600ms,16.696,0,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 700ms,16.714,0.3,0,0,18,1,16.661,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 800ms,16.696,0.1,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,4s 900ms,16.748,0.5,0,0,18,4,16.679,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s,16.644,0.1,0,0,19,2,16.714,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 100ms,16.661,0.5,0,0,19,1,16.661,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 200ms,16.661,0.5,0,0,18,1,16.661,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 300ms,16.644,0.1,0,0,18,1,16.644,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 400ms,16.696,0.3,0,0,18,1,16.644,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 500ms,16.661,0.5,0,0,18,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 600ms,16.696,0.3,0,0,19,1,16.696,10.364,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
,5s 700ms,16.661,0.1,0,0,19,2,16.644,10.364,0.98,0,0,18,0,0.98,0,0,0,0,0,0,0,0,0,10.3
,5s 800ms,16.696,0.3,0,0,19,2,16.766,10.364,3.922,0,0,18,0,3.922,0,0,0,0,0,0,0,0,0,7.7
,5s 900ms,16.592,4.8,0,0,19,60,16.627,10.364,8.824,80,0,18,0,8.824,0,0,0,0,0,0,0,0,0,54.9
,6s,16.644,3.2,11.2,15.68,18,34,16.609,10.364,11.765,50,10.5,18,0,11.765,0,0,0,0,0,0,0,0,0,27.4
,6s 100ms,16.627,4.8,19.3,27.02,18,45,16.661,10.364,14.706,80,18.1,18,0,14.706,0,0,0,0,0,0,0,0,0,32.9
,6s 200ms,16.644,5,26.2,36.68,18,54,16.557,10.364,16.667,80,24.6,18,0,16.667,0,0,0,0,0,0,0,0,0,30.2
,6s 300ms,16.592,4.1,26.9,37.66,18,35,16.627,10.364,16.667,60,25.2,18,0,16.667,0,0,0,0,0,0,0,0,0,24.8
,6s 400ms,16.609,3.9,26.9,37.66,18,38,16.574,10.364,16.667,60,25.2,18,0,16.667,0,0,0,0,0,0,0,0,0,23.6
,6s 500ms,16.592,5.1,27.4,38.36,18,39,16.557,10.318,17.647,80,25.7,18,0,17.647,0,0,0,0,0,0,0,0,0,29.1
,6s 600ms,16.539,6.2,30.3,42.42,18,47,16.522,10.318,19.608,100,28.4,18,0,19.608,0,0,0,0,0,0,0,0,0,31.9
,6s 700ms,16.539,6.6,33.9,47.46,19,17,16.522,10.364,21.569,110,31.8,18,0,21.569,0,0,0,0,0,0,0,0,0,30.9
,6s 800ms,16.522,6.9,35.7,49.98,18,54,16.487,10.364,22.549,110,33.5,18,0,22.549,0,0,0,0,0,0,0,0,0,30.9
,6s 900ms,16.505,7.8,37.1,51.94,18,48,16.522,10.364,23.529,120,34.8,18,0,23.529,0,0,0,0,0,0,0,0,0,33.4
,7s,16.557,8.5,38.2,53.48,18,66,16.505,10.364,24.51,140,35.9,18,0,24.51,0,0,0,0,0,0,0,0,0,35
,7s 100ms,16.418,9.8,40.7,56.98,18,70,16.435,10.364,26.471,160,38.2,18,0,26.471,0,0,0,0,0,0,0,0,0,37.3
,7s 200ms,16.4,9.8,41.6,58.24,18,84,16.365,10.364,26.471,160,39.1,18,0,26.471,0,0,0,0,0,0,0,0,0,37.3
,7s 300ms,16.452,9.2,42.6,59.64,18,74,16.383,10.364,27.451,150,40,18,0,27.451,0,0,0,0,0,0,0,0,0,33.8
,7s 400ms,16.4,9.2,42.6,59.64,18,75,16.348,10.364,27.451,150,40,18,0,27.451,0,0,0,0,0,0,0,0,0,33.8
,7s 500ms,16.4,9.8,42.6,59.64,19,78,16.452,10.364,27.451,160,40,18,0,27.451,0,0,0,0,0,0,0,0,0,36
