#Device,LCX200,,,,,,,,
#Device Name,RS-LCX200-02169.local,,,,,,,,
#Format,LOG,,,,,,,,
#Date,3/10/2025,,,,,,,,
#Version,02.036 001FCD160E,,,,,,,,
#Serial No.,102169,,,,,,,,
#Logging Interval[s],0,,,,,,,,
#Mode,Unlimited,,,,,,,,
#Start Time,15:22:28,,,,,,,,
#Stop Time,15:23:49,,,,,,,,
#Actual Count,200,,,,,,,,
Timestamp,Ls[H],Q,Z[Ohm],Θd[°],IBias[A],Bias Enable,Ext. Voltage Enable,Voltage[V],Frequency[Hz]
22:30.6,#NAME?,4.31E-02,1.01E-02,-2.47E+00,0.00E+00,FALSE,FALSE,2.00E+00,4.00E+00
22:31.4,#NAME?,#NAME?,9.70E-03,-7.46E-02,0.00E+00,FALSE,FALSE,2.00E+00,1.40E+01
22:31.9,1.16E-06,1.81E-02,9.66E-03,1.04E+00,0.00E+00,FALSE,FALSE,2.00E+00,2.41E+01
22:32.4,1.48E-06,3.27E-02,9.69E-03,1.87E+00,0.00E+00,FALSE,FALSE,2.00E+00,3.41E+01
22:32.9,1.47E-06,4.20E-02,9.73E-03,2.40E+00,0.00E+00,FALSE,FALSE,2.00E+00,4.41E+01
22:33.3,2.38E-06,8.35E-02,9.72E-03,4.77E+00,0.00E+00,FALSE,FALSE,2.00E+00,5.42E+01
22:33.7,2.36E-06,9.80E-02,9.74E-03,5.60E+00,0.00E+00,FALSE,FALSE,2.00E+00,6.42E+01
22:34.2,2.23E-06,1.07E-01,9.74E-03,6.11E+00,0.00E+00,FALSE,FALSE,2.00E+00,7.42E+01
22:34.6,1.73E-06,9.41E-02,9.78E-03,5.38E+00,0.00E+00,FALSE,FALSE,2.00E+00,8.42E+01
22:35.0,1.95E-06,1.19E-01,9.78E-03,6.78E+00,0.00E+00,FALSE,FALSE,2.00E+00,9.43E+01
22:35.4,2.25E-06,1.51E-01,9.87E-03,8.59E+00,0.00E+00,FALSE,FALSE,2.00E+00,1.04E+02
22:35.8,2.32E-06,1.71E-01,9.91E-03,9.68E+00,0.00E+00,FALSE,FALSE,2.00E+00,1.14E+02
22:36.2,2.85E-06,2.28E-01,1.00E-02,1.28E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.24E+02
22:36.7,2.49E-06,2.13E-01,1.01E-02,1.20E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.34E+02
22:37.1,2.55E-06,2.32E-01,1.02E-02,1.30E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.44E+02
22:37.5,2.59E-06,2.49E-01,1.04E-02,1.40E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.54E+02
22:37.9,2.96E-06,2.93E-01,1.09E-02,1.63E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.64E+02
22:38.4,2.67E-06,2.55E-01,1.18E-02,1.43E+01,0.00E+00,FALSE,FALSE,2.00E+00,1.75E+02
22:38.8,1.07E-06,1.07E-01,1.17E-02,6.13E+00,0.00E+00,FALSE,FALSE,2.00E+00,1.85E+02
22:39.2,1.01E-06,1.20E-01,1.04E-02,6.84E+00,0.00E+00,FALSE,FALSE,2.00E+00,1.95E+02
22:39.6,1.37E-06,1.78E-01,1.01E-02,1.01E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.05E+02
22:40.1,1.57E-06,2.17E-01,1.00E-02,1.22E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.15E+02
22:40.5,1.66E-06,2.38E-01,1.01E-02,1.34E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.25E+02
22:40.8,1.74E-06,2.61E-01,1.01E-02,1.47E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.35E+02
22:41.2,2.12E-06,3.32E-01,1.04E-02,1.84E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.45E+02
22:41.7,1.86E-06,3.03E-01,1.03E-02,1.68E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.55E+02
22:42.1,1.85E-06,3.13E-01,1.03E-02,1.74E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.65E+02
22:42.5,1.88E-06,3.30E-01,1.04E-02,1.83E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.75E+02
22:42.9,1.89E-06,3.42E-01,1.05E-02,1.89E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.85E+02
22:43.3,1.90E-06,3.55E-01,1.05E-02,1.95E+01,0.00E+00,FALSE,FALSE,2.00E+00,2.95E+02
