% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 50.00 ms, time offset -6.860 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-06 T 13:35:18 +0000
% Time (s), Channel A (V)
-2.6498416000e-02, 5.6179777952e-02
-2.6494328000e-02, 5.6179777952e-02
-2.6490240000e-02, 5.8622376993e-02
-2.6486152000e-02, 5.8622376993e-02
-2.6482064000e-02, 5.8622376993e-02
-2.6477976000e-02, 5.8622376993e-02
-2.6473888000e-02, 5.8622376993e-02
-2.6469800000e-02, 6.1064976035e-02
-2.6465712000e-02, 5.8622376993e-02
-2.6461624000e-02, 5.6179777952e-02
-2.6457536000e-02, 5.8622376993e-02
-2.6453448000e-02, 5.8622376993e-02
-2.6449360000e-02, 5.8622376993e-02
-2.6445272000e-02, 6.1064976035e-02
-2.6441184000e-02, 5.8622376993e-02
-2.6437096000e-02, 5.8622376993e-02
-2.6433008000e-02, 5.8622376993e-02
-2.6428920000e-02, 6.1064976035e-02
-2.6424832000e-02, 5.8622376993e-02
-2.6420744000e-02, 5.8622376993e-02
-2.6416656000e-02, 6.1064976035e-02
-2.6412568000e-02, 5.8622376993e-02
-2.6408480000e-02, 6.1064976035e-02
-2.6404392000e-02, 5.8622376993e-02
-2.6400304000e-02, 6.1064976035e-02
-2.6396216000e-02, 6.1064976035e-02
-2.6392128000e-02, 5.8622376993e-02
-2.6388040000e-02, 5.8622376993e-02
-2.6383952000e-02, 5.8622376993e-02
-2.6379864000e-02, 5.8622376993e-02
-2.6375776000e-02, 5.8622376993e-02
-2.6371688000e-02, 5.8622376993e-02
-2.6367600000e-02, 6.1064976035e-02
-2.6363512000e-02, 5.8622376993e-02
-2.6359424000e-02, 5.8622376993e-02
-2.6355336000e-02, 5.8622376993e-02
-2.6351248000e-02, 6.1064976035e-02
-2.6347160000e-02, 6.1064976035e-02
-2.6343072000e-02, 5.8622376993e-02
-2.6338984000e-02, 6.1064976035e-02
-2.6334896000e-02, 5.8622376993e-02
-2.6330808000e-02, 5.8622376993e-02
-2.6326720000e-02, 5.8622376993e-02
-2.6322632000e-02, 5.6179777952e-02
-2.6318544000e-02, 6.1064976035e-02
-2.6314456000e-02, 6.1064976035e-02
-2.6310368000e-02, 5.8622376993e-02
-2.6306280000e-02, 5.8622376993e-02
-2.6302192000e-02, 5.8622376993e-02
-2.6298104000e-02, 5.8622376993e-02
-2.6294016000e-02, 5.8622376993e-02
-2.6289928000e-02, 5.8622376993e-02
-2.6285840000e-02, 5.8622376993e-02
-2.6281752000e-02, 5.8622376993e-02
-2.6277664000e-02, 5.8622376993e-02
-2.6273576000e-02, 5.6179777952e-02
-2.6269488000e-02, 5.8622376993e-02
-2.6265400000e-02, 5.8622376993e-02
-2.6261312000e-02, 5.8622376993e-02
-2.6257224000e-02, 5.8622376993e-02
-2.6253136000e-02, 5.8622376993e-02
-2.6249048000e-02, 5.8622376993e-02
-2.6244960000e-02, 5.8622376993e-02
-2.6240872000e-02, 6.1064976035e-02
-2.6236784000e-02, 6.1064976035e-02
-2.6232696000e-02, 5.8622376993e-02
-2.6228608000e-02, 5.8622376993e-02
-2.6224520000e-02, 5.8622376993e-02
-2.6220432000e-02, 5.8622376993e-02
-2.6216344000e-02, 5.8622376993e-02
-2.6212256000e-02, 5.8622376993e-02
-2.6208168000e-02, 5.8622376993e-02
-2.6204080000e-02, 5.8622376993e-02
-2.6199992000e-02, 5.8622376993e-02
-2.6195904000e-02, 5.8622376993e-02
-2.6191816000e-02, 5.8622376993e-02
-2.6187728000e-02, 6.1064976035e-02
-2.6183640000e-02, 5.8622376993e-02
-2.6179552000e-02, 5.8622376993e-02
-2.6175464000e-02, 5.8622376993e-02
-2.6171376000e-02, 5.8622376993e-02
-2.6167288000e-02, 6.1064976035e-02
-2.6163200000e-02, 6.1064976035e-02
-2.6159112000e-02, 5.8622376993e-02
-2.6155024000e-02, 5.8622376993e-02
-2.6150936000e-02, 6.1064976035e-02
-2.6146848000e-02, 6.1064976035e-02
-2.6142760000e-02, 5.8622376993e-02
-2.6138672000e-02, 5.8622376993e-02
-2.6134584000e-02, 5.8622376993e-02
-2.6130496000e-02, 6.1064976035e-02
-2.6126408000e-02, 5.8622376993e-02
-2.6122320000e-02, 6.1064976035e-02
-2.6118232000e-02, 5.6179777952e-02
-2.6114144000e-02, 6.1064976035e-02
-2.6110056000e-02, 5.8622376993e-02
-2.6105968000e-02, 6.1064976035e-02
-2.6101880000e-02, 6.1064976035e-02
-2.6097792000e-02, 5.8622376993e-02
-2.6093704000e-02, 6.1064976035e-02
-2.6089616000e-02, 5.8622376993e-02
-2.6085528000e-02, 5.8622376993e-02
-2.6081440000e-02, 5.8622376993e-02
-2.6077352000e-02, 5.8622376993e-02
-2.6073264000e-02, 5.8622376993e-02
-2.6069176000e-02, 6.1064976035e-02
-2.6065088000e-02, 6.1064976035e-02
-2.6061000000e-02, 5.8622376993e-02
-2.6056912000e-02, 5.8622376993e-02
-2.6052824000e-02, 6.3507575076e-02
-2.6048736000e-02, 5.8622376993e-02
-2.6044648000e-02, 6.1064976035e-02
-2.6040560000e-02, 6.1064976035e-02
-2.6036472000e-02, 6.1064976035e-02
-2.6032384000e-02, 5.8622376993e-02
-2.6028296000e-02, 5.8622376993e-02
-2.6024208000e-02, 5.8622376993e-02
-2.6020120000e-02, 6.1064976035e-02
-2.6016032000e-02, 6.1064976035e-02
-2.6011944000e-02, 5.8622376993e-02
-2.6007856000e-02, 5.8622376993e-02
-2.6003768000e-02, 5.8622376993e-02
-2.5999680000e-02, 5.8622376993e-02
-2.5995592000e-02, 6.1064976035e-02
-2.5991504000e-02, 6.1064976035e-02
-2.5987416000e-02, 6.1064976035e-02
-2.5983328000e-02, 5.8622376993e-02
-2.5979240000e-02, 6.1064976035e-02
-2.5975152000e-02, 6.1064976035e-02
-2.5971064000e-02, 6.1064976035e-02
-2.5966976000e-02, 6.1064976035e-02
-2.5962888000e-02, 5.8622376993e-02
-2.5958800000e-02, 5.8622376993e-02
-2.5954712000e-02, 5.6179777952e-02
-2.5950624000e-02, 6.1064976035e-02
-2.5946536000e-02, 6.1064976035e-02
-2.5942448000e-02, 5.8622376993e-02
-2.5938360000e-02, 5.8622376993e-02
-2.5934272000e-02, 5.8622376993e-02
-2.5930184000e-02, 6.1064976035e-02
-2.5926096000e-02, 6.1064976035e-02
-2.5922008000e-02, 5.8622376993e-02
-2.5917920000e-02, 6.1064976035e-02
-2.5913832000e-02, 6.1064976035e-02
-2.5909744000e-02, 6.1064976035e-02
-2.5905656000e-02, 6.1064976035e-02
-2.5901568000e-02, 6.1064976035e-02
-2.5897480000e-02, 6.3507575076e-02
-2.5893392000e-02, 6.1064976035e-02
-2.5889304000e-02, 6.1064976035e-02
-2.5885216000e-02, 5.8622376993e-02
-2.5881128000e-02, 6.1064976035e-02
-2.5877040000e-02, 6.1064976035e-02
-2.5872952000e-02, 5.8622376993e-02
-2.5868864000e-02, 5.8622376993e-02
-2.5864776000e-02, 6.1064976035e-02
-2.5860688000e-02, 6.1064976035e-02
-2.5856600000e-02, 5.8622376993e-02
-2.5852512000e-02, 6.1064976035e-02
-2.5848424000e-02, 6.1064976035e-02
-2.5844336000e-02, 5.8622376993e-02
-2.5840248000e-02, 6.1064976035e-02
-2.5836160000e-02, 5.8622376993e-02
-2.5832072000e-02, 6.1064976035e-02
-2.5827984000e-02, 5.8622376993e-02
-2.5823896000e-02, 6.1064976035e-02
-2.5819808000e-02, 6.1064976035e-02
-2.5815720000e-02, 6.1064976035e-02
-2.5811632000e-02, 5.8622376993e-02
-2.5807544000e-02, 6.1064976035e-02
-2.5803456000e-02, 5.8622376993e-02
-2.5799368000e-02, 5.8622376993e-02
-2.5795280000e-02, 5.8622376993e-02
-2.5791192000e-02, 6.3507575076e-02
-2.5787104000e-02, 5.8622376993e-02
-2.5783016000e-02, 5.8622376993e-02
-2.5778928000e-02, 6.1064976035e-02
-2.5774840000e-02, 5.8622376993e-02
-2.5770752000e-02, 6.1064976035e-02
-2.5766664000e-02, 6.1064976035e-02
-2.5762576000e-02, 6.1064976035e-02
-2.5758488000e-02, 5.8622376993e-02
-2.5754400000e-02, 6.3507575076e-02
-2.5750312000e-02, 5.8622376993e-02
-2.5746224000e-02, 6.1064976035e-02
-2.5742136000e-02, 6.1064976035e-02
-2.5738048000e-02, 5.8622376993e-02
-2.5733960000e-02, 5.8622376993e-02
-2.5729872000e-02, 6.1064976035e-02
-2.5725784000e-02, 6.1064976035e-02
-2.5721696000e-02, 5.8622376993e-02
-2.5717608000e-02, 6.1064976035e-02
-2.5713520000e-02, 6.1064976035e-02
-2.5709432000e-02, 6.1064976035e-02
-2.5705344000e-02, 6.1064976035e-02
-2.5701256000e-02, 6.1064976035e-02
-2.5697168000e-02, 6.1064976035e-02
-2.5693080000e-02, 6.1064976035e-02
-2.5688992000e-02, 6.1064976035e-02
-2.5684904000e-02, 6.1064976035e-02
-2.5680816000e-02, 5.8622376993e-02
-2.5676728000e-02, 6.1064976035e-02
-2.5672640000e-02, 6.1064976035e-02
-2.5668552000e-02, 6.1064976035e-02
-2.5664464000e-02, 6.1064976035e-02
-2.5660376000e-02, 6.1064976035e-02
-2.5656288000e-02, 6.3507575076e-02
-2.5652200000e-02, 6.1064976035e-02
-2.5648112000e-02, 6.1064976035e-02
-2.5644024000e-02, 6.1064976035e-02
-2.5639936000e-02, 6.1064976035e-02
-2.5635848000e-02, 6.1064976035e-02
-2.5631760000e-02, 6.1064976035e-02
-2.5627672000e-02, 6.1064976035e-02
-2.5623584000e-02, 6.1064976035e-02
-2.5619496000e-02, 5.8622376993e-02
-2.5615408000e-02, 5.8622376993e-02
-2.5611320000e-02, 6.1064976035e-02
-2.5607232000e-02, 5.8622376993e-02
-2.5603144000e-02, 6.1064976035e-02
-2.5599056000e-02, 5.8622376993e-02
-2.5594968000e-02, 6.1064976035e-02
-2.5590880000e-02, 5.8622376993e-02
-2.5586792000e-02, 6.3507575076e-02
-2.5582704000e-02, 6.1064976035e-02
-2.5578616000e-02, 6.3507575076e-02
-2.5574528000e-02, 6.3507575076e-02
-2.5570440000e-02, 6.1064976035e-02
-2.5566352000e-02, 6.1064976035e-02
-2.5562264000e-02, 6.1064976035e-02
-2.5558176000e-02, 5.8622376993e-02
-2.5554088000e-02, 6.3507575076e-02
-2.5550000000e-02, 5.8622376993e-02
-2.5545912000e-02, 6.3507575076e-02
-2.5541824000e-02, 6.3507575076e-02
-2.5537736000e-02, 6.1064976035e-02
-2.5533648000e-02, 5.8622376993e-02
-2.5529560000e-02, 6.1064976035e-02
-2.5525472000e-02, 6.1064976035e-02
-2.5521384000e-02, 6.1064976035e-02
-2.5517296000e-02, 6.3507575076e-02
-2.5513208000e-02, 5.8622376993e-02
-2.5509120000e-02, 6.3507575076e-02
-2.5505032000e-02, 6.1064976035e-02
-2.5500944000e-02, 6.1064976035e-02
-2.5496856000e-02, 6.1064976035e-02
-2.5492768000e-02, 5.8622376993e-02
-2.5488680000e-02, 6.1064976035e-02
-2.5484592000e-02, 6.1064976035e-02
-2.5480504000e-02, 6.1064976035e-02
-2.5476416000e-02, 6.1064976035e-02
-2.5472328000e-02, 6.1064976035e-02
-2.5468240000e-02, 5.8622376993e-02
