% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 70.00 ms, time offset -6.860 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-06 T 13:25:02 +0000
% Time (s), Channel A (V)
-3.9816920000e-02, -1.4655594248e-02
-3.9811200000e-02, -1.4655594248e-02
-3.9805480000e-02, -1.4655594248e-02
-3.9799760000e-02, -1.2212995207e-02
-3.9794040000e-02, -1.4655594248e-02
-3.9788320000e-02, -1.2212995207e-02
-3.9782600000e-02, -1.4655594248e-02
-3.9776880000e-02, -1.2212995207e-02
-3.9771160000e-02, -1.2212995207e-02
-3.9765440000e-02, -1.2212995207e-02
-3.9759720000e-02, -1.2212995207e-02
-3.9754000000e-02, -1.4655594248e-02
-3.9748280000e-02, -1.4655594248e-02
-3.9742560000e-02, -1.2212995207e-02
-3.9736840000e-02, -1.2212995207e-02
-3.9731120000e-02, -1.4655594248e-02
-3.9725400000e-02, -1.2212995207e-02
-3.9719680000e-02, -1.4655594248e-02
-3.9713960000e-02, -1.2212995207e-02
-3.9708240000e-02, -1.4655594248e-02
-3.9702520000e-02, -1.4655594248e-02
-3.9696800000e-02, -1.2212995207e-02
-3.9691080000e-02, -1.4655594248e-02
-3.9685360000e-02, -1.2212995207e-02
-3.9679640000e-02, -1.2212995207e-02
-3.9673920000e-02, -1.4655594248e-02
-3.9668200000e-02, -1.2212995207e-02
-3.9662480000e-02, -1.2212995207e-02
-3.9656760000e-02, -1.4655594248e-02
-3.9651040000e-02, -1.4655594248e-02
-3.9645320000e-02, -1.2212995207e-02
-3.9639600000e-02, -1.2212995207e-02
-3.9633880000e-02, -1.4655594248e-02
-3.9628160000e-02, -1.4655594248e-02
-3.9622440000e-02, -1.4655594248e-02
-3.9616720000e-02, -1.7098193290e-02
-3.9611000000e-02, -1.4655594248e-02
-3.9605280000e-02, -1.4655594248e-02
-3.9599560000e-02, -1.4655594248e-02
-3.9593840000e-02, -1.4655594248e-02
-3.9588120000e-02, -1.4655594248e-02
-3.9582400000e-02, -1.4655594248e-02
-3.9576680000e-02, -1.4655594248e-02
-3.9570960000e-02, -1.4655594248e-02
-3.9565240000e-02, -1.4655594248e-02
-3.9559520000e-02, -1.7098193290e-02
-3.9553800000e-02, -1.2212995207e-02
-3.9548080000e-02, -1.4655594248e-02
-3.9542360000e-02, -1.4655594248e-02
-3.9536640000e-02, -1.4655594248e-02
-3.9530920000e-02, -1.4655594248e-02
-3.9525200000e-02, -1.4655594248e-02
-3.9519480000e-02, -1.4655594248e-02
-3.9513760000e-02, -1.4655594248e-02
-3.9508040000e-02, -1.7098193290e-02
-3.9502320000e-02, -1.4655594248e-02
-3.9496600000e-02, -1.4655594248e-02
-3.9490880000e-02, -1.4655594248e-02
-3.9485160000e-02, -1.4655594248e-02
-3.9479440000e-02, -1.7098193290e-02
-3.9473720000e-02, -1.4655594248e-02
-3.9468000000e-02, -1.4655594248e-02
-3.9462280000e-02, -1.7098193290e-02
-3.9456560000e-02, -1.4655594248e-02
-3.9450840000e-02, -1.4655594248e-02
-3.9445120000e-02, -1.2212995207e-02
-3.9439400000e-02, -1.2212995207e-02
-3.9433680000e-02, -1.4655594248e-02
-3.9427960000e-02, -1.4655594248e-02
-3.9422240000e-02, -1.7098193290e-02
-3.9416520000e-02, -1.4655594248e-02
-3.9410800000e-02, -1.4655594248e-02
-3.9405080000e-02, -1.4655594248e-02
-3.9399360000e-02, -1.4655594248e-02
-3.9393640000e-02, -1.4655594248e-02
-3.9387920000e-02, -1.4655594248e-02
-3.9382200000e-02, -1.4655594248e-02
-3.9376480000e-02, -1.4655594248e-02
-3.9370760000e-02, -1.4655594248e-02
-3.9365040000e-02, -1.4655594248e-02
-3.9359320000e-02, -1.4655594248e-02
-3.9353600000e-02, -1.4655594248e-02
-3.9347880000e-02, -1.4655594248e-02
-3.9342160000e-02, -1.4655594248e-02
-3.9336440000e-02, -1.7098193290e-02
-3.9330720000e-02, -1.4655594248e-02
-3.9325000000e-02, -1.4655594248e-02
-3.9319280000e-02, -1.4655594248e-02
-3.9313560000e-02, -1.7098193290e-02
-3.9307840000e-02, -1.4655594248e-02
-3.9302120000e-02, -1.4655594248e-02
-3.9296400000e-02, -1.7098193290e-02
-3.9290680000e-02, -1.4655594248e-02
-3.9284960000e-02, -1.4655594248e-02
-3.9279240000e-02, -1.4655594248e-02
-3.9273520000e-02, -1.4655594248e-02
-3.9267800000e-02, -1.4655594248e-02
-3.9262080000e-02, -1.4655594248e-02
-3.9256360000e-02, -1.7098193290e-02
-3.9250640000e-02, -1.7098193290e-02
-3.9244920000e-02, -1.7098193290e-02
-3.9239200000e-02, -1.7098193290e-02
-3.9233480000e-02, -1.7098193290e-02
-3.9227760000e-02, -1.4655594248e-02
-3.9222040000e-02, -1.7098193290e-02
-3.9216320000e-02, -1.7098193290e-02
