% Moku:Go Oscilloscope
% Channel A (Input 1), AC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 50.00 ms, time offset -6.860 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-06 T 13:36:35 +0000
% Time (s), Channel A (Input 1) (V)
-1.814254400000e-02, -5.495848e-02
-1.809348800000e-02, -5.617978e-02
-1.804443200000e-02, -5.495848e-02
-1.799537600000e-02, -5.617978e-02
-1.794632000000e-02, -5.617978e-02
-1.789726400000e-02, -5.617978e-02
-1.784820800000e-02, -5.740108e-02
-1.779915200000e-02, -5.495848e-02
-1.775009600000e-02, -5.617978e-02
-1.770104000000e-02, -5.495848e-02
-1.765198400000e-02, -5.495848e-02
-1.760292800000e-02, -5.373718e-02
-1.755387200000e-02, -5.373718e-02
-1.750481600000e-02, -5.251588e-02
-1.745576000000e-02, -5.251588e-02
-1.740670400000e-02, -5.251588e-02
-1.735764800000e-02, -5.129458e-02
-1.730859200000e-02, -5.007328e-02
-1.725953600000e-02, -5.007328e-02
-1.721048000000e-02, -4.763068e-02
-1.716142400000e-02, -4.763068e-02
-1.711236800000e-02, -4.640938e-02
-1.706331200000e-02, -4.640938e-02
-1.701425600000e-02, -4.518808e-02
-1.696520000000e-02, -4.274548e-02
-1.691614400000e-02, -4.274548e-02
-1.686708800000e-02, -4.152418e-02
-1.681803200000e-02, -4.152418e-02
-1.676897600000e-02, -3.908158e-02
-1.671992000000e-02, -3.786029e-02
-1.667086400000e-02, -3.786029e-02
-1.662180800000e-02, -3.541769e-02
-1.657275200000e-02, -3.541769e-02
-1.652369600000e-02, -3.419639e-02
-1.647464000000e-02, -3.419639e-02
-1.642558400000e-02, -3.297509e-02
-1.637652800000e-02, -3.175379e-02
-1.632747200000e-02, -3.053249e-02
-1.627841600000e-02, -2.931119e-02
-1.622936000000e-02, -2.686859e-02
-1.618030400000e-02, -2.442599e-02
-1.613124800000e-02, -2.442599e-02
-1.608219200000e-02, -2.442599e-02
-1.603313600000e-02, -2.320469e-02
-1.598408000000e-02, -2.076209e-02
-1.593502400000e-02, -1.954079e-02
-1.588596800000e-02, -1.831949e-02
-1.583691200000e-02, -1.831949e-02
-1.578785600000e-02, -1.709819e-02
-1.573880000000e-02, -1.587689e-02
-1.568974400000e-02, -1.587689e-02
-1.564068800000e-02, -1.343429e-02
-1.559163200000e-02, -1.221300e-02
-1.554257600000e-02, -1.099170e-02
-1.549352000000e-02, -1.099170e-02
-1.544446400000e-02, -9.770396e-03
-1.539540800000e-02, -8.549097e-03
-1.534635200000e-02, -8.549097e-03
-1.529729600000e-02, -8.549097e-03
-1.524824000000e-02, -6.106498e-03
-1.519918400000e-02, -6.106498e-03
-1.515012800000e-02, -4.885198e-03
-1.510107200000e-02, -4.885198e-03
-1.505201600000e-02, -2.442599e-03
-1.500296000000e-02, -1.221300e-03
-1.495390400000e-02, -1.221300e-03
-1.490484800000e-02, 1.221300e-03
-1.485579200000e-02, 1.221300e-03
-1.480673600000e-02, 3.663899e-03
-1.475768000000e-02, 3.663899e-03
-1.470862400000e-02, 6.106498e-03
-1.465956800000e-02, 7.327797e-03
-1.461051200000e-02, 8.549097e-03
-1.456145600000e-02, 9.770396e-03
-1.451240000000e-02, 9.770396e-03
